PROV3327;La Tortue;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3328;Bombardopolis;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3329;La Gonâve;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3330;Jacmel;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3331;Pedernales;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3332;Barahona;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3333;Neyba;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3334;Puerto Plata;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3335;San Francisco de Macoris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3336;Samana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3337;Higuey;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3338;Bonao;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PROV3339;Hinche;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
